Offence,Act,Class
Abandoning child under two years,Offences against the Person Act 1861 Sec 27,C
Abduction of a child by parent,"Child Abduction Act 1984 Sec 1 as amended by the Children's Act 1989",C
Abduction of a woman by force or for the sake of her property,Sexual Offences Act 1956 s 17,J
Abduction of child by other persons,"Child Abduction Act 1984 Sec 2 as amended by the Children's Act 1989",C
Abduction of defective from parent or guardian,Sexual Offences Act 1956 s 21,D
Abduction of girl under 16 from parent or guardian,Sexual Offences Act 1956 s 20,J
Abduction of girl under 18 from parent or guardian,Sexual Offences Act 1956 s 19,D
Absconding from lawful custody,Common Law,C
Abstracting electricity,Theft Act 1968 Sec 13,F/G/K
Abuse of position of trust: causing a child to watch a sexual activity. Offender 18 or over - Child aged 13 - 17,Sexual Offences Act 2003 Sec 19,D
Abuse of position of trust: causing a child to watch a sexual activity. Offender 18 or over - Child under 13 ,Sexual Offences Act 2003 Sec 19,D
Abuse of position of trust: causing or inciting a child to engage in sexual activity - Female child aged 13 - 17,Sexual Offences Act 2003 Sec 17,D
Abuse of position of trust: causing or inciting a child to engage in sexual activity - Female child under 13,Sexual Offences Act 2003 Sec 17,D
Abuse of position of trust: causing or inciting a child to engage in sexual activity - Male child aged 13 - 17,Sexual Offences Act 2003 Sec 17,D
Abuse of position of trust: causing or inciting a child to engage in sexual activity - Male child under 13,Sexual Offences Act 2003 Sec 17,D
Abuse of position of trust: sexual activity in the presence of a child. Offender 18 or over - Child aged 13 - 17,Sexual Offences Act 2003 Sec 18,D
Abuse of position of trust: sexual activity in the presence of a child. Offender 18 or over - Child under 13,Sexual Offences Act 2003 Sec 18,D
Abuse of position of trust: sexual activity with a child - Female child aged 13 - 17,Sexual Offences Act 2003 Sec 16,D
Abuse of position of trust: sexual activity with a child - Female child under 13,Sexual Offences Act 2003 Sec 16,D
Abuse of position of trust: sexual activity with a child - Male child aged 13 - 17,Sexual Offences Act 2003 Sec 16,D
Abuse of position of trust: sexual activity with a child - Male child under 13,Sexual Offences Act 2003 Sec 16,D
Accept/obtain for self/another gift/money as inducement/reward for procuring/assisting in the grant of a title/honour.,Honours (Prevention of Abuses) Act 1925 S.1,H*
Accounting records to be kept,Companies Act 1985 Sec 223 (1),H*
Acknowledging bail in false name,Forgery Act 1861 Sec 34,I
"Acquisition, possession or use of proceeds of drug trafficking",Drug Trafficking Act 1994 Sec 51,B
"Acquisition, use & possession",Proceeds of Crime Act 2002 Sec 329,B
Acting as a gangmaster in contravention of Section 6 (prohibition of unlicensed activities),Gangmasters (Licensing) Act 2004 Sec 6 & 12(1),H*
Acting as insolvency practitioner when not qualified,Insolvency Act 1986 Sec 389,H*
Acting in the purported exercise of any right granted to authorised practitioners when not authorised to do so,Courts and Legal Services Act 1990,H*
Acts intended or likely to stir up racial or religious hatred - Broadcasting including programme in programme service,Public Order Act 1986 Sec22,C
"Acts intended or likely to stir up racial or religious hatred - Distributing, showing or playing a recording ",Public Order Act 1986 Sec21,C
Acts intended or likely to stir up racial or religious hatred - Possession of racially inflammatory material ,Public Order Act 1986 Sec23,C
Acts intended or likely to stir up racial or religious hatred - Public performance of play ,Public Order Act 1986 Sec20,C
Acts intended or likely to stir up racial or religious hatred - Publishing or distributing written material,Public Order Act 1986 Sec19,C
Acts intended or likely to stir up racial or religious hatred - Use of words or behaviour or display or written material ,Public Order Act 1986 Sec18,C
Administering a substance with intent,Sexual Offences Act 2003 Sec 61,D
Administering drugs or using instruments to procure abortion,Offences against the Person Act 1861 Sec58,B
Administering drugs to obtain or facilitate intercourse,Sexual Offences Act 1956 s 4,D
Administering poison so as to endanger life,Offences against the Person Act 1861 Sec 23,B
Administering poison with intent to injure or annoy,Offences against the Person Act 1861 Sec24,C
Administration of oath by person without jurisdiction,Statutory Declaration Act 1835 Sec 13,H*
Admitting football spectators to unlicensed premises,Football Spectators Act 1989 Sec 9,H*
Advertisements and representations directed to practitioners,Medicines Act 1968 Sec 96(5),H*
Affray,Public Order Act 1986. Sec 3,H
Aggravated burglary in building other than a dwelling,Theft Act 1968 Sec 10 ,B
Aggravated burglary in a dwelling,Theft Act 1968 Sec10,B
Aggravated vehicle taking,Theft Act 1968 Sec 12A,H
Aggravated vehicle taking where the only aggravating factor is criminal damage of £5000 or under,Theft Act 1968 Sec 12A,H
Agreeing to indemnify sureties in criminal proceedings,Bail Act 1976 Sec 9,H
Aiding or Abetting etc desertion or absence without leave ,Armed Forces Act 2006 S.344,H*
Aiding or Abetting etc Malingering ,Armed Forces Act 2006 S.345,H*
"Aiding, abetting, causing or permitting dangerous driving",Road Traffic Act 1988 Sec 2,H
Air traffic controllers - triable either way offences,"Air navigation Order 2009 AA.193, 194 & 241 (7) & Sch.13 Pt.C",H*
Air transport licensing,Civil Aviation Act 1982 Sec 67,H*
All offences made under these regulations.,Animal & Animal products regulation 1997.,H*
All other TEW offences except those under classification 95/08,Financial Services and Markets Act 2000,H*
"All TEW offences except Sec 10,78-82,92-95",Railway and Transport Safety Act 2003,H*
All TEW offences under these regulations. ,Fresh Meat (Hygiene & Inspection) Regs 1995,H*
Allowing child or young person to be in brothel,Children and Young Persons Act 1933 Sec 3,H*
Allowing persons under 16 to take part in performances endangering life or limb,Children and Young Persons Act 1933 Sec 23,H*
"Any person who, from commissioning to selling a tobacco advertisement in newspaper, periodicals etc, commits an offence","Tobacco Advertising & Promotion Act 2002 Secs 3, 16(2)",H*
"Arrangements - concerned in arrangement, knows or suspects, facilitates acquisition, retention, use or control of criminal property by, or on behalf of another person",Proceeds of Crime Act 2002 Sec 328,B
Arranging or facilitating child prostitution or pornography - Child 13 - 17 ,Sexual Offences Act 2003 Sec 50,J
Arranging or facilitating child prostitution or pornography - Child under 13 ,Sexual Offences Act 2003 Sec 50,J
Arranging or facilitating the commission of a child sex offence,Sexual Offences Act 2003 Sec 14,J
Arson to motor vehicle not endangering life,Criminal Damage Act 1971 Sec1 ,B/C
Arson to other property not endangering life,Criminal Damage Act 1971 Sec1 ,B/C
Arson endangering life,Criminal Damage Act 1971 Sec1 ,B
Arson to motor vehicle endangering life,Criminal Damage Act 1971 Sec1 ,B
Arson to other building endangering life,Criminal Damage Act 1971 Sec1 ,B
Arson to other property endangering life,Criminal Damage Act 1971 Sec1 ,B
artifice burglary in a building other than a dwelling,Theft Act 1968 Sec 9 ,E
artifice burglary in a dwelling,Theft Act 1968 Sec 9 ,E
Assault a designated person or his assistant in the exercise of a relevant power,Serious Organised Crime and Police Act 2005 Sec 51 (1)(4),H*
Assault a member of a joint investigation team carrying out his function as a member of that team,Serious Organised Crime and Police Act 2005 Sec 57 (2)(4),H*
Assault occasioning actual bodily harm,Offences against the Person Act 1861 Sec47,C
Assault of a female child under 13 by penetration,Sexual Offences Act 2003 Sec 6,J
Assault on a constable,Police Act 1996 Sec 89(1),H*
Assault on a constable,Local Acts ,H*
Assault on a female by penetration,Sexual Offences Act 2003 Sec 2,J
Assault on a male by penetration,Sexual Offences Act 2003 Sec 2,J
Assault on a male child under 13 by penetration,Sexual Offences Act 2003 Sec 6,J
Assault on a traffic officer,Traffic Management Act 2004 Sec 10(1),H*
Assault on County Court officer,County Courts Act 1984 Sec 14,H*
Assault on court security officer,Courts Act 2003 Sec 57,H*
Assault on officer in secure training centre,Criminal Justice & Public Order Act 1994 Sec 13,H*
Assault on person assisting a constable,Police Act 1996 Sec 89(1),H*
Assault on person preserving wreck,Offences against the Person Act 1861 Sec37,C
Assault on prison custody officer,Criminal Justice Act 1991 Sec 90(1),H*
Assault with intent to commit buggery,Sexual Offences Act 1956 s 16,J
Assault with intent to resist apprehension,Offences against the Person Act 1861 Sec38,H
Assault with intent to rob - business/personal,Theft Act 1968 Sec 8,C
Assault with weapon with intent to rob - business/personal,Theft Act 1968 Sec 8,B
Assault/obstruct enforcement officer acting under S.89/90 or fail/refuse to comply with S.89(4e-f) requirement. ,Wireless Telegraphy Act 2006 S.92 & 93(1).,H*
Assaulting a designated or accredited person in the execution of their duty,Police Reform Act 2002 Sec 46(1),H*
Assaulting an immigration officer ,UK Borders Act 2007,H*
Assaulting an immigration officer exercising S2 detention powers,UK Borders Act 2007,H*
Assaults an officer of revenue or customs,Commissioners for Revenue & Customs Act 2005 Sec 32,H*
Assist offender (Offences triable on indictment only),"Criminal Law Act, 1967 Sec 4(1) in part,",I
Assisting a detained person to escape,Immigration and Asylum Act 1999 Sch 11 para 4,H*
Assisting a prisoner to escape,Prison Act 1952 as inserted by Offender Management Act 2007, C
Assisting another person to retain the benefit of drug trafficking,Drug Trafficking Act 1994 Sec 50,B
"Assisting commission of offence relating to safety of ship, cargo or sea platform outside UK ",Aviation and Maritime Security Act 1990 14(4),H*
Assisting entry to UK in breach of deportation order,"Immigration Act 1971 S25A4 as amended by Nationality, Immigration & Asylum Act 2002 Sec. 143 ",C
Assisting in or inducing commission of drug offence outside United Kingdom,Misuse of Drugs Act 1971 Sec 20 ,H*
Assisting offender (offence triable either-way),"Criminal Law Act, 1967 Sec 4(1) in part",I
Assisting offender by impeding his apprehension or prosecution in a case of murder,Criminal Law Act 1967 Sec 4(1),I
Assisting patients to absent themselves,Mental Health Act 1983 Sec 128,H*
Assisting prisoners to escape,Prison Act 1952 Sec 39,C
Assisting unlawful immigration to member state,"Immigration Act 1971 S25(4-6) as amended by Nationality, Immigration & Asylum Act 2002 Sec. 143 ",C
Attempted murder,"Common Law, Criminal Attempts Act 1981",A
Attempted rape of a female aged 16 or over,Sexual Offences Act 2003 Sec 1,J
Attempted rape of a female aged under 16,Sexual Offences Act 2003 Sec 1,J
Attempted rape of a female child under 13 by a male,Sexual Offences Act 2003 Sec 5,J
Attempted rape of a male aged 16 or over,Sexual Offences Act 2003 Sec 1,J
Attempted rape of a male aged under 16,Sexual Offences Act 2003 Sec 1,J
Attempted rape of a male child under 13 by a male,Sexual Offences Act 2003 Sec 5,J
Attempting to choke etc. in order to commit indictable offence,Offences against the Person Act 1861 Sec 21,B
Attempting to injure or alarm the sovereign,Treason Act 1842 Sec 2,C
Attempting to Pervert the Course of Public Justice,Common Law,I
Attend any place in UK/elsewhere for instruction training in terrorism.,Terrorism Act 2006 Sec 8.,H*
Authorising the failure to keep proper accounting records,Companies Act 1985 Sec 221 (5)(6),H*
Bankrupt absconding with property he is required to deliver to official receiver or trustee,Insolvency Act 1986 Sec 358,H*
"Bankrupt concealing destroying etc. books, papers or records or making false entries in them",Insolvency Act 1986 Sec 355(2),H*
Bankrupt disposing of property obtained on credit and not paid for,Insolvency Act 1986 Sec 359(1),H*
"Bankrupt disposing of, or altering, books, papers or records relating to his estate or affairs",Insolvency Act 1986 Sec 355(3),H*
Bankrupt failing to account for loss of substantial part of property,Insolvency Act 1986 Sec 354(3),H*
"Bankrupt failing to deliver books, papers or records to official receiver or trustee",Insolvency Act 1986 Sec 355(1),H*
"Bankrupt failing to deliver property to, or concealing property from, official receiver or trustee",Insolvency Act 1986 Sec 354(1),H*
Bankrupt failing to disclose property or disposals to official receiver or trustee,Insolvency Act 1986 Sec 353(1,H*
Bankrupt failing to keep proper accounting records,Insolvency Act 1986 Sec 361(1),H*
Bankrupt fraudulently disposing of property,Insolvency Act 1986 Sec 357,H*
Bankrupt increasing extent of insolvency by gambling,Insolvency Act 1986 Sec 362,H*
"Bankrupt making false statement, or failing to inform trustee, where false debt proved",Insolvency Act 1986 Sec 356(2),H*
Bankrupt making material omission in statement relating to his affairs,Insolvency Act 1986 Sec 356(1),H*
Bankrupt obtaining credit or engaging in business without disclosing his status or name in which he was made bankrupt,Insolvency Act 1986 Sec 360(1),G
Bankrupt removing property which he is required to deliver to official receiver or trustee,Insolvency Act 1986 Sec 354(2),H*
Bankruptcy,Deeds of Arrangements Act 1914 Sec 17,H*
Being unable to produce an immigration document at a leave or asylum interview in respect of a dependent child,Asylum & Immigration (Treatment of Claimants) Act 2004 Sec 2(2)(9),H*
Being unable to produce an immigration document at a leave or asylum interview in respect of himself,Asylum & Immigration (Treatment of Claimants) Act 2004 Sec 2(1)(9),H*
Bigamy,Offences Against the Person Act 1861 Sec 57,H*
Blackmail,Theft Act 1968 Sec 21,B
Blasphemous libel,Common Law,H*
Breach EU regulation 1007/2009 in relationm to seal meat/oil/blubber/organ/skins,Seal Products regulations 2010,H*
Breach of a restraining order,Protection from Harassment Act 1997 Sec 5,H
Breach of a restraining Order issued on acquittal,protection from Harassment Act 1997 SS.5A(2) & 5(5) & (6),H*
Breach of anti-social behaviour order,Crime & Disorder Act 1998 Sec 1(10),H
Breach of conditions of injunction against harassment ,Protection from Harassment Act 1997 Sec 3,H
Breach of Foreign Travel Order,Sexual Offences Act 2003 Sec 122,H*
Breach of Foreign Travel Order,Counter-Terrorism Act 2008 Sch.5 Para.15,H*
Breach of licence requirement,Human Tissue Act 2004 Sec 25,H*
Breach of non-molestation order,"Domestic Violence, Crime and Victims Act 2004 Sec 1",H*
Breach of regulations by false representation and certificate,Cremation Act 1902 Sec 8(2),I
Breach of Risk of Sexual Harm Order,Sexual Offences Act 2003 Sec 128,H*
Breach regulations,Import and Export Restrictions (Foot and Mouth Disease) (Wales) Regulations 2007 S.24. ,H*
Bribery of foreign public officials,Bribery Act 2010 Sec 6,I
"Bribery, Treating and undue influence",Representation of the People Act 1983 Secs 113-115,H*
Bring or cause another to bring child into UK in non-compliance with condition specified in regulations made under S.12(1).,Children and Adoption Act 2006 S12.,H*
British person broadcast from non-British ship/aircraft/structure/object while on high seas.,Wireless Telegraph Act 2006 S.80 & 93(1).,H*
"Broadcast, etc from a ship/aircraft while it is in /over the UK/external waters, or from a British registered ship/aircraft while it is not in/over the UK/external waters.",Wireless Telegraph Act 2006 S.77 & S.93(1).,H*
Broadcasting from structure/non-ship object affixed to/supported b y a bed of waters.,Wireless Telegraph Act 2006 S.78 & 93(1).,H*
Buggery - person under 16,Sexual Offences Act 1956 s 12,J
Buggery (males over 16 otherwise than in private),Sexual Offences Act 1956 s 12,H
Building society advancing more than 15% of total advances made in previous year or not notifying change of building society rules to Chief Registrar,Housing Association Act 1985 Sec 63,H*
burglary - indictable,Theft Act 1968 Sec 9 ,E
burglary - violence,Theft Act 1968 Sec 9 ,E
Burglary in a building other than a dwelling - either way,Theft Act 1968 Sec 9 ,E
Burglary in a building other than a dwelling - indictable only,Theft Act 1968 Sec 9 ,E
Burglary in a dwelling - either way,Theft Act 1968 Sec 9 ,E
Car Tax Act offences,Car Tax Act 1983 Schedule 1 paras 8(1) & 8(2),H*
Care workers : Causing a person with a mental disorder or learning disability to watch a sexual act,Sexual Offences Act 2003 Sec 41,D
Care workers : Causing or inciting sexual activity (person with mental disorder) - No penetration,Sexual Offences Act 2003 Sec 39,J
Care workers : Causing or inciting sexual activity (person with mental disorder) - Penetration,Sexual Offences Act 2003 Sec 39,J
Care workers : Sexual activity in the presence of a person with a mental disorder ,Sexual Offences Act 2003 Sec 40,D
Care workers : Sexual activity with a person with a mental disorder - Female person - no penetration,Sexual Offences Act 2003 Sec 38,J
Care workers : Sexual activity with a person with a mental disorder - Female person - penetration,Sexual Offences Act 2003 Sec 38,J
Care workers : Sexual activity with a person with a mental disorder - Male person - no penetration,Sexual Offences Act 2003 Sec 38,J
Care workers : Sexual activity with a person with a mental disorder - Male person - penetration,Sexual Offences Act 2003 Sec 38,J
Carry on business of company with intent to defraud creditors or for other fraudulent purpose.,Companies Act 2006 Sec 993,H*
